slug,name,location,region,city,lat,lng,country,country_slug,url,day,time,distance,type
horseshoebayreserve,Horseshoe Bay Reserve parkrun,Horseshoe Bay Reserve,New South Wales,Macksville,-30.883931,153.042179,Australia,australia,https://www.parkrun.com.au/horseshoebayreserve/,Saturday,,5 km,parkrun
huskisson,Huskisson parkrun,Huskisson White Sands Park,New South Wales,Falls Creek,-35.049429,150.677109,Australia,australia,https://www.parkrun.com.au/huskisson/,Saturday,,5 km,parkrun
inverell,Inverell parkrun,Campbell Park,New South Wales,Inverell,-29.77388,151.10897,Australia,australia,https://www.parkrun.com.au/inverell/,Saturday,,5 km,parkrun
invereskprecinct,Inveresk Precinct parkrun,"Inveresk Precinct, Launceston, Tasmania",Tasmania,Launceston,-41.425512,147.14088,Australia,australia,https://www.parkrun.com.au/invereskprecinct/,Saturday,,5 km,parkrun
inverloch,Inverloch parkrun,Rotary Centenary Park,Victoria,North Wonthaggi,-38.639515,145.719625,Australia,australia,https://www.parkrun.com.au/inverloch/,Saturday,,5 km,parkrun
ipswichqld,Ipswich QLD parkrun,Bill Patterson Oval,Queensland,Eastern Heights,-27.625421,152.764292,Australia,australia,https://www.parkrun.com.au/ipswichqld/,Saturday,,5 km,parkrun
jakespoint,Jakes Point parkrun,Jakes Point Lookout,Western Australia,Kalbarri,-27.733275,114.15228,Australia,australia,https://www.parkrun.com.au/jakespoint/,Saturday,,5 km,parkrun
jamestowngolfcourse,Jamestown Golf Course parkrun,Jamestown Golf Course,South Australia,Jamestown,-33.228546,138.561957,Australia,australia,https://www.parkrun.com.au/jamestowngolfcourse/,Saturday,,5 km,parkrun
jarrahdaleheritage,Jarrahdale Heritage parkrun,Jarrahdale Heritage Park,Western Australia,Mundijong,-32.33521,116.058618,Australia,australia,https://www.parkrun.com.au/jarrahdaleheritage/,Saturday,,5 km,parkrun
jells,Jells parkrun,Jells Park,Victoria,Mulgrave,-37.897912,145.193976,Australia,australia,https://www.parkrun.com.au/jells/,Saturday,,5 km,parkrun
jerrabomberramountainreserve,Jerrabomberra Mountain Reserve parkrun,Jerrabomberra Mountain Reserve,New South Wales,Queanbeyan,-35.376524,149.20315,Australia,australia,https://www.parkrun.com.au/jerrabomberramountainreserve/,Saturday,,5 km,parkrun
jeunepark,Jeune Park parkrun,Jeune Park,Queensland,Cedar Vale,-27.993368,152.992548,Australia,australia,https://www.parkrun.com.au/jeunepark/,Saturday,,5 km,parkrun
jindabyne,Jindabyne parkrun,Banjo Paterson Park,New South Wales,Jindabyne,-36.41565,148.625881,Australia,australia,https://www.parkrun.com.au/jindabyne/,Saturday,,5 km,parkrun
jubileeway,Jubilee Way parkrun,Jubilee Community Centre,South Australia,Hope Valley,-34.806102,138.69439,Australia,australia,https://www.parkrun.com.au/jubileeway/,Saturday,,5 km,parkrun
jubileetenterfield,"Jubilee parkrun, Tenterfield","Jubilee, Tenterfield",New South Wales,Carrolls Creek,-29.054042,152.01537,Australia,australia,https://www.parkrun.com.au/jubileetenterfield/,Saturday,,5 km,parkrun
jurienbayforeshore,Jurien Bay Foreshore parkrun,Jurien Bay Foreshore,Western Australia,Jurien Bay,-30.302452,115.037533,Australia,australia,https://www.parkrun.com.au/jurienbayforeshore/,Saturday,,5 km,parkrun
kmreedyreserve,KM Reedy Reserve parkrun,KM Reedy Reserve,Victoria,Hampton Park,-38.021647,145.251726,Australia,australia,https://www.parkrun.com.au/kmreedyreserve/,Saturday,,5 km,parkrun
kadinatrail,Kadina Trail parkrun,Kadina Trail,Western Australia,Maida Vale,-31.92623,116.026041,Australia,australia,https://www.parkrun.com.au/kadinatrail/,Saturday,,5 km,parkrun
